#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL
560,KAMERON JOHNSON,WR,TB,0,-,-,0,0,0,-,-,-,-,BYE,-,-,-,-,-,1.1,,0.2,1.1
560,GRANT DUBOSE,WR,FA,0,1.3,-,-,-,-,-,-,-,-,-,-,-,-,-0.2,-,-,,0.4,1.1
560,TYREIK MCALLISTER,RB,FA,0,-,-,1.1,-,-,-,-,-,-,-,-,-,-,-,-,-,,0.6,1.1
563,DALLIN HOLKER,TE,FA,-,-,-,-,0,0,0,-,0,0,0,-,0,1,0,0,0,,0.1,1.0
563,JACK STOLL,TE,NO,-,-,0,0.4,-,0,0,0.6,0,0,-,BYE,-,-,-,0,0,,0.1,1.0
563,MYLES GASKIN,RB,FA,-0.3,-,0,0,1.3,-,-,-,-,-,-,-,-,-,-,-,-,,0.3,1.0
566,GEORGE HOLANI,RB,SEA,-,-,-,-,-,-,-,-,-,BYE,-,-,-,-0.1,1,-,0,,0.3,0.9
566,KENDRIC PRYOR,WR,CIN,-,-,-,-,-,-,-,-,0.9,-,-,BYE,-,-,-,-,-,,0.9,0.9
566,BRANDON JOHNSON,WR,PIT,-,-,-,-,0.9,-,0,0,BYE,-,-,-,-,-,-,-,-,,0.3,0.9
569,ERIC TOMLINSON,TE,FA,0,0,0,0,-,0,0.7,0,0.2,-,-,-,-,-,0,-,-,,0.1,0.9
570,AINIAS SMITH,WR,PHI,-,-,-,-,BYE,-,-,0,0.2,0.6,0,0,-,-,-,-,0,,0.1,0.8
570,CARSON WENTZ,QB,FA,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0.8,-,-,,0.4,0.8
572,JOSH JOHNSON,QB,WAS,-,-,-,0,-,-,0,-,0.2,-,-,-,-,BYE,-0.1,-,0.6,,0.2,0.8
573,KYLE ALLEN,QB,DET,-,-,-,-,0.8,-,-,-,-,-,-,-,-,-,-,-,-,,0.8,0.8
574,BREVIN JORDAN,TE,HOU,0.3,0.4,-,-,-,-,-,-,-,-,-,-,-,BYE,-,-,-,,0.4,0.7
574,JARED WILEY,TE,KC,0,0.7,0,0,0,BYE,0,0,-,-,-,-,-,-,-,-,-,,0.1,0.7
574,IAN THOMAS,TE,LV,-,-,-,-,-,0,0.4,0,0,0.3,-,-,-,-,-,-,-,,0.1,0.7
574,JOHN SAMUEL SHENKER,TE,FA,-,-,-,0,0,0,0,0.7,-,-,-,-,-,-,-,0,0,,0.1,0.7
574,RAMEL KEYTON,WR,TEN,-,-,-,-,BYE,-,-,-,0.7,-,0,0,-,0,0,0,0,,0.1,0.7
574,TYRION DAVIS-PRICE,RB,FA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.7,,0.7,0.7
574,GEOFF SWAIM,TE,FA,-,-,0,0,0,0,0,0.7,0,-,0,-,-,-,-,-,-,,0.1,0.7
581,CHRIS COLLIER,RB,LV,-,-,-,-,0,-,0,0,0,BYE,-,-,-,-,-,-,0.6,,0.1,0.6
581,DAVID MARTIN-ROBINSON,TE,TEN,-,-,-,-,BYE,-,-,-,-,-,-,-,-,0,0,0.6,0,,0.2,0.6
581,JAELON DARDEN,WR,FA,0,-,-,-,-,0.6,0,0,0,-,-,-,0,0,0,0,0,,0.1,0.6
581,JOHN ROSS,WR,FA,-,-,-,0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,,0.6,0.6
581,ISAIAH WILLIAMS,WR,CIN,-,-,-,-,-,-,-,0.6,0,-,-,BYE,0,0,0,0,0,,0.1,0.6
581,COLLIN JOHNSON,WR,LV,-,0,0,-,-,-,-,-,-,BYE,-,0,0,0.6,0,0,0,,0.1,0.6
587,TYLER SCOTT,WR,CHI,-,0,0,0,0,0,BYE,-,0,-,0,-,-,-,0.5,0,0,,0.1,0.5
587,ROBBIE CHOSEN,WR,FA,0,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,0.3,0.5
587,ROSS DWELLEY,TE,SF,0,0,0,0,-,0,0,0,0,-,0.5,-,0,0,0,0,-,,0.0,0.5
587,JOE FORTSON,TE,FA,-,-,-,-,0.5,-,0,0,-,-,-,-,-,-,-,-,-,,0.2,0.5
587,ZACH DAVIDSON,TE,BUF,-,-,-,-,-,-,-,-,-,-,0.5,BYE,0,0,-,-,-,,0.2,0.5
592,KESHAWN VAUGHN,RB,FA,-,-,-,-,-,-,-,-,-,-,-,-,-,0.4,-,-,-,,0.4,0.4
593,DARRYNTON EVANS,RB,BUF,-,-,-,-,0,-,-,-,-,-,-,BYE,-,0.3,-,-,-,,0.2,0.3
593,REGGIE GILLIAM,RB,BUF,0,0,0,0,0,0,-,0,-,-,0,BYE,0,0,0,0,0.3,,0.0,0.3
595,JOHN FITZPATRICK,TE,GB,-,-,-,-,-,-,-,0,0,BYE,0,0.2,-,0,0,0,0,,0.0,0.2
595,MARCEDES LEWIS,TE,FA,0,0,0,0,0,0.2,-,0,0,0,0,0,0,0,0,0,0,,0.0,0.2
595,BRITISH BROOKS,RB,HOU,0,-,0.2,0,-,-,-,-,-,-,-,-,-,BYE,-,-,-,,0.1,0.2
598,SAM HOWELL,QB,MIN,-,-,-,0,-,BYE,0,-,-,-,-,-,-,-,0.2,-,-,,0.1,0.2
599,JAMES PROCHE,WR,TEN,-,0,0,0.3,0,-,-,-,-,-,-,-,-,1.8,-2,0,0,,0.0,0.1
599,JAHEIM BELL,TE,NE,-,0,-,-,-,0,0,0,0.1,0,0,0,0,BYE,0,0,0,,0.0,0.1
601,STEPHEN SULLIVAN,TE,CAR,-,-,-,-,-,-,-,-,-,-,BYE,-,0,-,-,-,-,,0.0,0.0
601,IRV SMITH,TE,HOU,-,-,-,-,-,-,-,-,-,-,-,-,0,BYE,0,0,0,,0.0,0.0
601,EMORY JONES,QB,ATL,-,-,-,-,-,-,-,-,-,-,-,BYE,-,-,-,-,0,,0.0,0.0
601,DEZ FITZPATRICK,WR,LAC,-,-,-,-,BYE,-,-,-,-,-,-,-,-,-,-,-,-,,,0.0
601,JOSHUA CEPHUS,WR,JAC,-,-,-,-,-,-,-,-,-,-,-,BYE,-,0,-,-,-,,0.0,0.0
601,PRINCETON FANT,TE,DAL,-,-,-,-,-,-,BYE,-,-,-,0,-,0,0,0,0,-,,0.0,0.0
601,NIKKO REMIGIO,WR,KC,-,-,-,-,-,BYE,-,-,-,-,-,-,-,0,0,0,0,,0.0,0.0
601,JAKE BROWNING,K,FA,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,0.0,0.0
601,JOE MILTON,QB,DAL,-,-,-,-,-,-,BYE,-,-,-,-,-,-,-,-,-,-,,,0.0
601,BRANDON SMITH,WR,NYJ,-,-,-,-,-,-,-,-,-,-,-,BYE,-,-,0,-,-,,0.0,0.0
601,ZACK KUNTZ,TE,NYJ,-,-,-,-,-,-,-,-,-,-,-,BYE,-,-,0,-,-,,0.0,0.0
601,KENDALL MILTON,RB,CIN,-,-,-,-,-,-,-,-,0,-,-,BYE,-,-,-,-,-,,0.0,0.0
601,JUSTYN ROSS,WR,FA,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,,0.0,0.0
601,CODY SCHRADER,RB,LAR,-,-,-,-,-,BYE,-,-,-,-,-,-,-,-,-,-,-,,,0.0
601,THOMAS ODUKOYA,TE,TEN,-,-,-,-,BYE,-,-,-,-,-,-,-,-,-,0,-,-,,0.0,0.0
601,ELIJAH COOKS,WR,PHI,-,-,-,-,BYE,-,-,-,0,-,-,-,0,-,0,-,-,,0.0,0.0
601,KEILAN ROBINSON,RB,PHI,-,-,-,-,BYE,-,-,-,-,-,-,-,-,0,-,-,0,,0.0,0.0
