"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"596","British Brooks","RB","HOU","0","-","0.2","0","-","-","-","-","-","-","-","-","-","BYE","-","-","-","","0.1","0.2"
"596","Sam Howell","QB","MIN","-","-","-","0","-","BYE","0","-","-","-","-","-","-","-","0.2","-","-","","0.1","0.2"
"602","Reggie Gilliam","RB","BUF","0","0","0","0","0","0","-","0","-","-","0","BYE","0","0","0","0","0.3","","0","0.3"
"602","Anthony Firkser","TE","FA","0","-","-","-","-","0","-","0","-","-","-","-","0","-","0","0","-","","0","0"
"602","James Mitchell","TE","CAR","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","","0","0"
"602","Parker Hesse","TE","FA","0","0","0","0","-","0","0","0","-","-","-","-","-","-","-","-","-","","0","0"
"602","Seth Williams","WR","LV","-","-","-","-","-","-","-","-","-","BYE","0","-","-","0","-","-","-","","0","0"
"602","C.J. Beathard","QB","FA","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","","0","0"
"602","Tyler Mabry","TE","CAR","-","-","-","-","-","-","-","-","-","-","0","0","-","-","-","-","-","","0","0"
"602","Princeton Fant","TE","DAL","-","-","-","-","-","-","BYE","-","-","-","0","-","0","0","0","0","-","","0","0"
"602","C.J. Uzomah","TE","FA","-","-","-","-","-","-","-","-","-","-","0","0","0","0","0","0","0","","0","0"
"602","E.J. Jenkins","TE","PHI","0","0","-","-","BYE","-","-","-","0","-","-","-","-","0","0","0","0","","0","0"
"602","Mitchell Wilcox","TE","FA","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","","0","0"
"602","Jalen Cropper","WR","DAL","-","-","-","-","-","-","BYE","-","-","0","-","-","-","-","-","-","-","","0","0"
"602","Joshua Cephus","WR","JAC","-","-","-","-","-","-","-","-","-","-","-","BYE","-","0","-","-","-","","0","0"
"602","Jack Westover","TE","NE","-","-","-","-","-","-","-","-","-","-","-","0","-","BYE","-","-","-","","0","0"
"602","Tanner McLachlan","TE","CIN","-","-","-","-","-","-","-","-","-","-","-","BYE","-","-","-","0","0","","0","0"
"602","Alex Erickson","WR","FA","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","","0","0"
"602","Emory Jones","QB","ATL","-","-","-","-","-","-","-","-","-","-","-","BYE","-","-","-","-","0","","0","0"
"602","Sam Hartman","QB","WAS","0","-","-","-","-","-","-","-","-","-","-","-","0","BYE","-","-","-","","0","0"
"602","Jordan Matthews","TE","FA","0","0","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","","0","0"
"602","Brandon Smith","WR","NYJ","-","-","-","-","-","-","-","-","-","-","-","BYE","-","-","0","-","-","","0","0"
"602","Zach Pascal","WR","NYG","0","0","0","0","0","0","0","0","0","0","BYE","0","-","0","0","-","-","","0","0"
"602","Zack Kuntz","TE","NYJ","-","-","-","-","-","-","-","-","-","-","-","BYE","-","-","0","-","-","","0","0"
"602","Joshua Kelley","RB","FA","-","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","","0","0"
"602","Maurice Alexander","WR","CHI","-","-","-","-","-","-","BYE","-","-","-","-","-","0","0","-","-","-","","0","0"
"602","Kazmeir Allen","WR","WAS","-","-","-","-","-","-","-","-","-","-","-","0","-","BYE","-","-","-","","0","0"
"602","Avery Williams","RB","PHI","0","0","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","","0","0"
"602","Jared Wayne","WR","HOU","-","-","-","-","-","-","-","-","-","-","-","-","0","BYE","-","0","0","","0","0"
"602","Laquon Treadwell","WR","IND","-","-","-","-","-","-","-","-","-","-","-","-","0","BYE","-","-","-","","0","0"
"602","Nick Muse","TE","PHI","0","0","-","-","BYE","-","-","-","-","-","-","0","0","-","-","-","-","","0","0"
"602","Deonte Harty","WR","FA","0","0","0","0","-","0","-","-","-","-","-","-","-","-","-","-","-","","0","0"
"602","Stephen Sullivan","TE","CAR","-","-","-","-","-","-","-","-","-","-","BYE","-","0","-","-","-","-","","0","0"
"602","Thomas Odukoya","TE","TEN","-","-","-","-","BYE","-","-","-","-","-","-","-","-","-","0","-","-","","0","0"
"602","Irv Smith Jr.","TE","HOU","-","-","-","-","-","-","-","-","-","-","-","-","0","BYE","0","0","0","","0","0"
"602","Nikko Remigio","WR","KC","-","-","-","-","-","BYE","-","-","-","-","-","-","-","0","0","0","0","","0","0"
"602","Jake Tonges","TE","SF","0","0","0","0","-","0","0","0","BYE","0","-","0","-","0","-","-","-","","0","0"
"602","Jack Browning","K","FA","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","0","0","","0","0"
"602","Keilan Robinson","RB","PHI","-","-","-","-","BYE","-","-","-","-","-","-","-","-","0","-","-","0","","0","0"
