"112","Zay Flowers","WR","BAL","8.7","6.8","5","5","7.3","11.1","7.5","1.9","1.1","7.3","5","18.2","BYE","14","0.7","13.2","16.6","","8.1","129.4"
"113","Jake Moody","K","SF","14","14","12","5","6","5","7","5","BYE","10","9","7","6","4","10","6","9","","8.1","129"
"114","Jakobi Meyers","WR","LV","20.1","-","8.5","3.3","13.5","12.1","11","1.9","11.5","2.1","4.9","14.1","BYE","2.5","13.7","4.2","5.6","","8.6","129"
"115","Chris Boswell","K","PIT","1","12","15","6","11","BYE","8","4","8","13","4","11","4","6","1","12","12","","8","128"
"116","Wil Lutz","K","DEN","4","9","8","9","7","0","15","6","BYE","15","17","9","5","6","5","1","11","","7.9","127"
"116","Nick Folk","K","NYJ","18","10","4","11","12","10","BYE","4","11","6","2","7","9","8","5","5","5","","7.9","127"
"116","Houston Texans","DST","HOU","8","-1","13","12","4","10","BYE","7","0","8","8","2","10","5","13","7","21","","7.9","127"
"119","Zach Wilson","QB","MIA","9.2","11.4","6.4","19.2","9.6","10.9","-","12.1","7.2","14.9","7.7","-","-","19.2","-1","-","-","","10.6","126.9"
"120","Adam Thielen","WR","CAR","1.2","13.4","20.5","8.2","16.7","17.5","BYE","7.2","2.9","4.2","7.4","0.2","2.5","7.4","4.3","9.4","3.8","","7.9","126.8"
"121","Jaylen Waddle","WR","MIA","7.8","8.4","-","4.6","9.5","11.1","6.3","18.1","5.4","BYE","5.5","11.4","5.2","7.9","20.2","5.2","-","","9","126.6"
"122","Travis Kelce","TE","KC","-","8.6","12.9","6","12.7","12.4","23.9","5.8","1.4","BYE","8.4","9.1","8.1","8.3","2.8","4.4","1.6","","8.4","126.4"
"123","Chase McLaughlin","K","TB","10","9","3","10","BYE","6","7","6","16","8","2","8","3","11","11","14","1","","7.8","125"
"123","Minnesota Vikings","DST","MIN","2","5","2","17","2","21","8","10","5","8","2","11","BYE","20","7","4","1","","7.8","125"
"125","Devin Singletary","RB","NYG","1.5","2.4","4.5","7.8","0","6.2","-","4.3","2.6","22.1","17.8","7.2","4","12.5","17","6.3","8.6","","7.8","124.8"
"126","Terry McLaurin","WR","WAS","3.1","11.4","4.1","14.6","4.9","8.1","9","12.3","7.3","3.3","4.3","5","0","BYE","20.1","5","12.1","","7.8","124.6"
"127","T.J. Hockenson","TE","MIN","3.5","18.6","5.8","2.4","5.1","5","8.6","14.8","6.9","19.4","5.5","11","BYE","5.3","6.3","5.8","-","","8.3","124"
"128","Matt Prater","K","FA","12","9","13","4","2","11","5","5","0","18","6","0","8","-","14","6","9","","7.6","122"
"129","Chris Godwin","WR","TB","5.1","5.8","5.2","11.4","BYE","7.7","6.6","12.8","1.6","5.4","3.9","4.5","7.9","5.3","15.5","7.9","14.1","","7.5","120.7"
"130","David Njoku","TE","CLE","2.4","2.8","2","4.6","BYE","2.4","5.4","13.7","8.6","5.8","5.6","5.9","1.7","21.1","16.4","10.4","11.4","","7.5","120.2"
"131","Anders Carlson","K","FA","10","6","4","8","7","-","5","4","8","7","5","6","11","11","8","11","9","","7.5","120"
"132","Kansas City Chiefs","DST","KC","4","10","11","5","6","14","10","10","12","BYE","7","2","2","6","7","6","7","","7.4","119"
"133","Javonte Williams","RB","DAL","5.7","5.8","6.5","0.9","-","7.2","9.6","15.8","-","17","5.3","7.1","7","15.1","2","7.9","5.8","","7.9","118.7"
